year,oteam_name,lg,w,l,t,w_l,playoffs,att,cteam_name
2016,Arizona Diamondbacks,NL West,69,93,0,0.426,,2036216,Arizona Diamondbacks
2015,Arizona Diamondbacks,NL West,79,83,0,0.488,,2080145,Arizona Diamondbacks
2014,Arizona Diamondbacks,NL West,64,98,0,0.395,,2073730,Arizona Diamondbacks
2013,Arizona Diamondbacks,NL West,81,81,0,0.5,,2134895,Arizona Diamondbacks
2012,Arizona Diamondbacks,NL West,81,81,0,0.5,,2177617,Arizona Diamondbacks
2011,Arizona Diamondbacks,NL West,94,68,0,0.58,Lost LDS (3-2),2105432,Arizona Diamondbacks
2010,Arizona Diamondbacks,NL West,65,97,0,0.401,,2056697,Arizona Diamondbacks
2009,Arizona Diamondbacks,NL West,70,92,0,0.432,,2128765,Arizona Diamondbacks
2008,Arizona Diamondbacks,NL West,82,80,0,0.506,,2509924,Arizona Diamondbacks
2007,Arizona Diamondbacks,NL West,90,72,0,0.556,Lost NLCS (4-0),2325249,Arizona Diamondbacks
2006,Arizona Diamondbacks,NL West,76,86,0,0.469,,2091685,Arizona Diamondbacks
2005,Arizona Diamondbacks,NL West,77,85,0,0.475,,2059424,Arizona Diamondbacks
2004,Arizona Diamondbacks,NL West,51,111,0,0.315,,2519560,Arizona Diamondbacks
2003,Arizona Diamondbacks,NL West,84,78,0,0.519,,2805542,Arizona Diamondbacks
2002,Arizona Diamondbacks,NL West,98,64,0,0.605,Lost LDS (3-0),3198977,Arizona Diamondbacks
2001,Arizona Diamondbacks,NL West,92,70,0,0.568,Won WS (4-3),2736451,Arizona Diamondbacks
2000,Arizona Diamondbacks,NL West,85,77,0,0.525,,2942251,Arizona Diamondbacks
1999,Arizona Diamondbacks,NL West,100,62,0,0.617,Lost LDS (3-1),3019654,Arizona Diamondbacks
1998,Arizona Diamondbacks,NL West,65,97,0,0.401,,3610290,Arizona Diamondbacks
2016,Atlanta Braves,NL East,68,93,0,0.422,,2020914,Atlanta Braves
2015,Atlanta Braves,NL East,67,95,0,0.414,,2001392,Atlanta Braves
2014,Atlanta Braves,NL East,79,83,0,0.488,,2354305,Atlanta Braves
2013,Atlanta Braves,NL East,96,66,0,0.593,Lost LDS (3-1),2548679,Atlanta Braves
2012,Atlanta Braves,NL East,94,68,0,0.58,Lost NLWC (1-0),2420171,Atlanta Braves
2011,Atlanta Braves,NL East,89,73,0,0.549,,2372940,Atlanta Braves
2010,Atlanta Braves,NL East,91,71,0,0.562,Lost LDS (3-1),2510119,Atlanta Braves
2009,Atlanta Braves,NL East,86,76,0,0.531,,2373631,Atlanta Braves
2008,Atlanta Braves,NL East,72,90,0,0.444,,2532834,Atlanta Braves
2007,Atlanta Braves,NL East,84,78,0,0.519,,2745207,Atlanta Braves
2006,Atlanta Braves,NL East,79,83,0,0.488,,2550524,Atlanta Braves
2005,Atlanta Braves,NL East,90,72,0,0.556,Lost LDS (3-1),2521167,Atlanta Braves
2004,Atlanta Braves,NL East,96,66,0,0.593,Lost LDS (3-2),2327565,Atlanta Braves
2003,Atlanta Braves,NL East,101,61,0,0.623,Lost LDS (3-2),2401084,Atlanta Braves
2002,Atlanta Braves,NL East,101,59,1,0.631,Lost LDS (3-2),2603484,Atlanta Braves
2001,Atlanta Braves,NL East,88,74,0,0.543,Lost NLCS (4-1),2823530,Atlanta Braves
2000,Atlanta Braves,NL East,95,67,0,0.586,Lost LDS (3-0),3234304,Atlanta Braves
1999,Atlanta Braves,NL East,103,59,0,0.636,Lost WS (4-0),3284897,Atlanta Braves
1998,Atlanta Braves,NL East,106,56,0,0.654,Lost NLCS (4-2),3360860,Atlanta Braves
1997,Atlanta Braves,NL East,101,61,0,0.623,Lost NLCS (4-2),3464488,Atlanta Braves
1996,Atlanta Braves,NL East,96,66,0,0.593,Lost WS (4-2),2901242,Atlanta Braves
1995,Atlanta Braves,NL East,90,54,0,0.625,Won WS (4-2),2561831,Atlanta Braves
