date,attend,wins,team
1900,170000,62,Cincinnati Reds
1900,183000,82,Los Angeles Dodgers
1900,190000,60,San Francisco Giants
1900,202000,66,Atlanta Braves
1900,248577,65,Chicago Cubs
1900,264000,79,Pittsburgh Pirates
1900,270000,65,St. Louis Cardinals
1900,301913,75,Philadelphia Phillies
1901,131380,54,Cleveland Indians
1901,139034,48,Baltimore Orioles
1901,146502,69,Atlanta Braves
1901,161661,61,Minnesota Twins
1901,198200,79,Los Angeles Dodgers
1901,205071,53,Chicago Cubs
1901,205728,52,Cincinnati Reds
1901,206329,74,Oakland Athletics
1901,234937,83,Philadelphia Phillies
1901,251955,90,Pittsburgh Pirates
1901,259430,74,Detroit Tigers
1901,289448,79,Boston Red Sox
1901,297650,52,San Francisco Giants
1901,354350,83,Chicago White Sox
1901,379988,76,St. Louis Cardinals
1902,112066,56,Philadelphia Phillies
1902,116960,73,Atlanta Braves
1902,188158,61,Minnesota Twins
1902,189469,52,Detroit Tigers
1902,199868,75,Los Angeles Dodgers
1902,217300,70,Cincinnati Reds
1902,226417,56,St. Louis Cardinals
1902,243826,103,Pittsburgh Pirates
1902,263700,68,Chicago Cubs
1902,272283,78,Baltimore Orioles
1902,275395,69,Cleveland Indians
1902,302875,48,San Francisco Giants
1902,337898,74,Chicago White Sox
1902,348567,77,Boston Red Sox
1902,420078,83,Oakland Athletics
1903,128878,43,Minnesota Twins
1903,143155,58,Atlanta Braves
1903,151729,49,Philadelphia Phillies
1903,211808,72,New York Yankees
1903,224523,65,Detroit Tigers
1903,224670,70,Los Angeles Dodgers
1903,226538,43,St. Louis Cardinals
1903,286183,60,Chicago White Sox
1903,311280,77,Cleveland Indians
1903,326855,91,Pittsburgh Pirates
1903,351680,74,Cincinnati Reds
1903,379338,91,Boston Red Sox
1903,380405,65,Baltimore Orioles
1903,386205,82,Chicago Cubs
1903,422473,75,Oakland Athletics
1903,579530,84,San Francisco Giants
1904,131744,38,Minnesota Twins
1904,140694,55,Atlanta Braves
1904,140771,52,Philadelphia Phillies
1904,177796,62,Detroit Tigers
1904,214600,56,Los Angeles Dodgers
1904,264749,86,Cleveland Indians
1904,318108,65,Baltimore Orioles
1904,340615,87,Pittsburgh Pirates
1904,386750,75,St. Louis Cardinals
1904,391915,88,Cincinnati Reds
1904,438919,92,New York Yankees
1904,439100,93,Chicago Cubs
1904,512294,81,Oakland Athletics
1904,557123,89,Chicago White Sox
1904,609826,106,San Francisco Giants
1904,623295,95,Boston Red Sox
1905,150003,51,Atlanta Braves
1905,193384,79,Detroit Tigers
1905,227924,48,Los Angeles Dodgers
1905,252027,64,Minnesota Twins
1905,292800,58,St. Louis Cardinals
1905,309100,71,New York Yankees
1905,313927,79,Cincinnati Reds
1905,316306,76,Cleveland Indians
1905,317932,83,Philadelphia Phillies
1905,339112,54,Baltimore Orioles
1905,369124,96,Pittsburgh Pirates
1905,468828,78,Boston Red Sox
1905,509900,92,Chicago Cubs
1905,552700,105,San Francisco Giants
1905,554576,92,Oakland Athletics
1905,687419,92,Chicago White Sox
1906,129903,55,Minnesota Twins
1906,143280,49,Atlanta Braves
1906,174043,71,Detroit Tigers
1906,277400,66,Los Angeles Dodgers
1906,283770,52,St. Louis Cardinals
1906,294680,71,Philadelphia Phillies
1906,325733,89,Cleveland Indians
1906,330056,64,Cincinnati Reds
1906,389157,76,Baltimore Orioles
1906,394877,93,Pittsburgh Pirates
1906,402850,96,San Francisco Giants
1906,410209,49,Boston Red Sox
1906,434700,90,New York Yankees
1906,489129,78,Oakland Athletics
1906,585202,93,Chicago White Sox
1906,654300,116,Chicago Cubs
1907,185377,52,St. Louis Cardinals
1907,203221,58,Atlanta Braves
1907,221929,49,Minnesota Twins
1907,297079,92,Detroit Tigers
1907,312500,65,Los Angeles Dodgers
1907,317500,66,Cincinnati Reds
1907,319506,91,Pittsburgh Pirates
1907,341216,83,Philadelphia Phillies
1907,350020,70,New York Yankees
1907,382046,85,Cleveland Indians
1907,419025,69,Baltimore Orioles
1907,422550,107,Chicago Cubs
1907,436777,59,Boston Red Sox
1907,538350,82,San Francisco Giants
1907,625581,88,Oakland Athletics
1907,666307,87,Chicago White Sox
1908,205129,49,St. Louis Cardinals
1908,253750,63,Atlanta Braves
1908,264252,67,Minnesota Twins
1908,275600,53,Los Angeles Dodgers
1908,305500,51,New York Yankees
1908,382444,98,Pittsburgh Pirates
1908,399200,73,Cincinnati Reds
1908,420660,83,Philadelphia Phillies
1908,422262,90,Cleveland Indians
1908,436199,90,Detroit Tigers
1908,455062,68,Oakland Athletics
1908,473048,75,Boston Red Sox
1908,618947,83,Baltimore Orioles
1908,636096,88,Chicago White Sox
1908,665325,99,Chicago Cubs
1908,910000,98,San Francisco Giants
1909,195188,45,Atlanta Braves
1909,205199,42,Minnesota Twins
1909,299982,54,St. Louis Cardinals
1909,303177,74,Philadelphia Phillies
1909,321300,55,Los Angeles Dodgers
1909,354627,71,Cleveland Indians
1909,366274,61,Baltimore Orioles
1909,424643,77,Cincinnati Reds
1909,478400,78,Chicago White Sox
1909,490490,98,Detroit Tigers
1909,501000,74,New York Yankees
1909,534950,110,Pittsburgh Pirates
1909,633480,104,Chicago Cubs
1909,668965,88,Boston Red Sox
1909,674915,95,Oakland Athletics
1909,783700,92,San Francisco Giants
1910,149027,53,Atlanta Braves
1910,249889,47,Baltimore Orioles
1910,254591,66,Minnesota Twins
1910,279321,64,Los Angeles Dodgers
1910,293456,71,Cleveland Indians
1910,296597,78,Philadelphia Phillies
1910,355668,63,St. Louis Cardinals
1910,355857,88,New York Yankees
1910,380622,75,Cincinnati Reds
1910,391288,86,Detroit Tigers
1910,436586,86,Pittsburgh Pirates
1910,511785,91,San Francisco Giants
1910,526152,104,Chicago Cubs
1910,552084,68,Chicago White Sox
1910,584619,81,Boston Red Sox
1910,588905,102,Oakland Athletics
1911,116000,44,Atlanta Braves
1911,207984,45,Baltimore Orioles
1911,244884,64,Minnesota Twins
1911,269000,64,Los Angeles Dodgers
1911,300000,70,Cincinnati Reds
1911,302444,76,New York Yankees
1911,406296,80,Cleveland Indians
1911,416000,79,Philadelphia Phillies
